,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
158,Indonesia,Criminal code protests,Sep-19,Partly free,"Consideration of a new criminal code that could violate the rights of women, religious minorities, and LGBT groups, and passage of a bill to weaken the country’s anticorruption commission.",Weakening of anticorruption body and growing skepticism of President Joko Widodo’s commitment to reforms.,">10,000",University students.,1 week,The vote on a new criminal code was delayed.,,X,X,X,Tens of thousands,X,,,X,,Jakarta,Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,0.21899999999999942
159,Indonesia,West Papua protests,Aug-19,Partly free,Racist remarks made by military officers and nationalist militia directed against Papuan citizens.,"Discrimination against and marginalization of Papuan citizens, tensions between Papuans and the central government, desires for Papuan independence, and the effects of extractive industries in West Papua.",">10,000",Papuan citizens.,1 month,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,,,,,Jakarta,Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,0.21899999999999942
160,Iran,Water shortage protests,Jul-21,Not free,"Severe water shortages amid Iran’s worst drought in decades. The July protests were focused on water shortages in Khuzestan Province, while the protests beginning in November started in Isfahan.","Frustration with government mismanagement of water resources, poor provision of services, and repression of public dissent.",">10,000",General public.,3 weeks in July 2021; November 2021 to February 2022.,No policy/leadership change in response to protest.,,X,X,,Tens of thousands,,,X,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
161,Iran,Water protests,Jun-18,Not free,Undrinkable water in the cities of Khorramshahr and Abadan.,"Anger over the degradation of infrastructure, and political repression amid the public outcry over basic service delivery failures.",">1,000",General public.,2 months,No policy/leadership change in response to protests.,,,X,,Tens of thousands,X,,,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
162,Iran,Downed plane protests,Jan-20,Not free,NYT,Lack of government transparency and accountability and popular discontent with political leadership.,">1,000",University students.,3 days,No policy/leadership change in response to the protests.,,X,,,Tens of thousands,X,,,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
163,Iran,Fuel hike protests,Nov-19,Not free,Increase in gasoline prices due to the growing budget deficit.,Economic challenges (growing budget deficit and high inflation) and discontent toward political leaders.,"200,000",Low-income and working-class families.,1 month,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
164,Iran,Budget protests,Dec-17,Not free,"Concerns over a weak economy and the high prices of basic goods, as well as the publication of a government budget that would slash cash subsidies and increase fuel prices.","Slow economic growth, lack of political freedoms and openness, and corruption.",">10,000","Younger, working-class citizens, some of whom are from towns and rural cities.",2 months,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,,,,,Tehran,Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.2140000000000004
165,Israel,Israel coronavirus protests,Mar-20,Free,"Prime Minister Benjamin Netanyahu’s expansion of authority during the coronavirus outbreak, such as using phone surveillance technology, shutting down the court system, adjourning parliament, and planning to annex parts of the West Bank.","Perceptions of Netanyahu’s actions as antidemocratic, corrupt, or authoritarian.",">10,000",General public.,14 months,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,X,,,X,Jerusalem,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,0.13400000000000034
166,Israel,Recommendations bill protests,Dec-17,Free,"Draft law that would end the existing practice of having police recommend to prosecutors whether to indict suspects, while also preventing police recommendations from being made public and penalizing leaks from investigations. Suspicions that the law's implications could affect an ongoing investigation into Prime Minister Benjamin Netanyahu.",Government corruption and lack of transparency.,"20,000",General public.,3 weeks,Netanyahu called for reforms to the draft bill to exclude him from its purview.,,,X,,Tens of thousands,X,,,,,Jerusalem,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,0.13400000000000034
167,Israel,Nation-state law protests,Aug-18,Free,Passage of a nation-state law that would affirm Israel’s Jewish character and potentially marginalize non-Jewish citizens.,Anti-Arab discrimination.,"30,000","Jews, Palestinians.",3 weeks,"No policy/leadership change in response to the protests. The High Court agreed to hear cases against the law, but hearings have been repeatedly postponed.",,,X,,Hundreds of thousands,X,X,X,X,,Jerusalem,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,0.13400000000000034
168,Italy,Prison protest,Mar-20,Free,"Overcrowding in prisons during the coronavirus outbreak. Government decision to suspend or limit family visits to more than two dozen prisons for the next two weeks, due to coronavirus concerns.","Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,,Tens of thousands,,,,,,Rome,Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,0.1770000000000005
169,Italy,Union-led economic protests,Feb-19,Free,Announced investment and pension reform that unions viewed as inadequate to combat economic stagnation and high unemployment.,"Economic stagnation, lack of employment opportunities, and government's failure to address challenges such as corruption, climate change, and sexism.",">100,000",Trade unions.,2 months,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,,,,,Rome,Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,0.1770000000000005
170,Italy,Coronavirus restriction protests,Feb-21,Free,"The imposition of vaccine mandates, public health restrictions, and the enactment of a rule requiring employees to have a ""Green Pass,"" which shows vaccination or negative coronavirus test status, in order to enter workplaces.",Frustration over vaccine and testing requirements and other restrictive public health measures.,">10,000","General public, including right-wing groups.",1 year,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Rome,Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,0.1770000000000005
171,Ivory Coast,Third-term protests,Aug-20,Partly free,"Announcement that President Alassane Ouattara would seek a third term in office, despite a two-term limit.","Democratic backsliding, entrenchment of Ouattara’s Rally of Houphouëtists for Democracy and Peace (RHDP) party, and manipulation of the constitution for political gain.",">1,000",General public.,3 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Yamoussoukro,Ivory Coast,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,0.30799999999999983
172,Japan,Police brutality protests,Jun-20,Free,"The death of George Floyd in the United States, sparking protests against local police brutality and racism in Japan, most recently manifesting in police violence against a Kurdish man.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000",General public.,2 weeks,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Tokyo,Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,0.1589999999999998
173,Jordan,Water deal protest,Nov-21,Not free,The announcement of a deal between Israel and Jordan that would provide Israeli firms access to Jordanian solar energy resources in exchange for water from Israel.,Frustration with Jordan's policy toward Israel.,>500,General public.,1 day,No policy/leadership change in response to protest.,,,X,,Hundreds,,,,,,Amman,Jordan,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67.0,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,0.24300000000000033
174,Jordan,Teacher pay protests,Jul-20,Not free,The government’s failure to abide by a pay raise agreement between the education ministry and the Teachers’ Syndicate union.,Insufficient pay for public sector workers amid rising costs of living and anger over the government’s repression of the Teachers’ Syndicate.,">1,000","General public, especially teachers.",1 month,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Amman,Jordan,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67.0,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,0.24300000000000033
175,Jordan,Tax law protests,May-18,Not free,Tax hikes and price increases for electricity and fuel.,"Government corruption, lack of political rights, and a stagnant economy.",">10,000","Youth movement, civil society groups, professional associations, labor unions.",1 week,"Then prime minister Hani Mulki stepped down, and his successor, Omar Razzaz, rescinded the proposed changes.",,,X,,Tens of thousands,,,,,,Amman,Jordan,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67.0,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,0.24300000000000033
176,Kazakhstan,Fuel price protests,Jan-22,Not free,The lifting of price caps on liquid petroleum gas.,"Frustration over rising cost of living, economic stagnation and inequality, lack of political pluralism, and intolernace of dissent.",">10,000",General public.,10 days,"The prime minister and his cabinet resigned, former president Nursultan Nazarbayev was removed as chairman of the country's Security Council, and the fuel price caps were restored.",,X,X,,Tens of thousands,X,,X,,,Nur-Sultan,Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,0.18300000000000072
177,Kazakhstan,House fire protests,Feb-19,Not free,The deaths of five children in a house fire that occurred while both parents were working overnight shifts.,"Lack of sufficient social support for working families, inadequate housing infrastructure, and the high cost of living.",>500,"General public, especially women.",2 months,The government of prime minister Bakytzhan Sagintayev was fired by President Nursultan Nazarbayev.,,X,X,,Thousands,,,,,X,Nur-Sultan,Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,0.18300000000000072
178,Kazakhstan,Election protests,Jun-19,Not free,Recent presidential election results that were seen as undemocratic/illegitimate.,Undemocratic elections and lack of meaningful political choice and change.,">1,000",General public.,5 days,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,X,X,X,X,,Nur-Sultan,Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,0.18300000000000072
179,Kenya,National Youth Service corruption protests,May-18,Partly free,Revelations that over $100 million had been embezzled from Kenya’s National Youth Service.,"Anger over official corruption, the lack of youth opportunity, and high unemployment.",">1,000","General public, especially youth.",1 month,Thirty officials associated with the National Youth Service were charged in relation to the scandal.,,,X,,Tens of thousands,,,X,,,Nairobi,Kenya,Sub-Saharan Africa,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,0.2809999999999997
180,Kenya,Election protests,Aug-17,Partly free,The publication of electoral results that showed that incumbent President Uhuru Kenyatta had been reelected.,"Concerns over a lack of genuine political pluralism, allegations of electoral manipulation, and the entrenchment of Kenyatta.",">1,000",General public.,2 months,"Though the Supreme Court nullified the election’s results and called for a new contest, opposition leader Raila Odinga withdrew in protests and Kenyatta was proclaimed the victor.",,X,,X,Tens of thousands,,,,,,Nairobi,Kenya,Sub-Saharan Africa,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,0.2809999999999997
181,Kuwait,Corruption protests,Nov-19,Partly free,Allegations of corruption against parliament speaker Marzouq al-Ghanim.,Frustration over entrenched corruption.,">1,000","General public, including former and current members of parliament.",1 week,No policy/leadership change in response to protests.,,X,X,,Tens of thousands,,,,,,Kuwait City,Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,0.258
182,Kyrgyzstan,Corruption report protests,Nov-19,Not free,Circulation of a report that alleged that over $700 million in public funds had been misappropriated in a money laundering operation.,Anger over corruption and poor infrastructure.,>500,General public.,1 week,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,,,,,X,Bishkek,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,0.18100000000000005
183,Kyrgyzstan,Electoral protests,Oct-20,Not free,Allegations of vote-rigging and intimidation amid parliamentary elections.,Concern over the shrinking political space and lack of faith in electoral processes under President Sooronbai Jeenbekov.,">1,000",General public.,1 month,President Jeenbekov and his government resigned and were succeeded by an interim government led by opposition leader Sadyr Japarov.,,,X,,Thousands,X,,,,,Bishkek,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,0.18100000000000005
184,Kyrgyzstan,Internet freedom protests,Jun-20,Not free,The proposal of a law that would allow authorities to block “fake news” online.,Concerns over state repression of independent online journalism and the media space more generally.,>500,General public.,1 week,President Sooronbay Jeenbekov sent the law back to parliament for further legislative review.,,,X,X,Tens of thousands,,,,,,Bishkek,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,0.18100000000000005
185,Kyrgyzstan,Tekebayev arrest protests,Feb-17,Not free,"The arrest of opposition leader Omurbek Tekebayev on charges, which protesters alleged were politically motivated.","Frustration over a lack of genuine political pluralism, and recurring crackdowns on political opposition.",>500,"General public, especially supporters of Tekebayev.",1 week,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,X,,,X,,Bishkek,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,0.18100000000000005
186,Lebanon,Prison protest,Mar-20,Partly free,Overcrowding in prisons during the coronavirus outbreak.,Overcrowding in Lebanese prisons.,Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,X,Tens of thousands,,,,,,Beirut,Lebanon,Middle East and North Africa,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,0.21399999999999952
187,Liberia,Economic protests,Jun-19,Partly free,Protest organized by the opposition to highlight rising prices and allegations of corruption.,"Stagnant economy, high levels of poverty and inflation, and corruption.",">1,000","Opposition parties, civil society activists.",7 months (sporadic),The government called for a roundtable to discuss how to revive the economy.,,,X,,Thousands,X,,,,,Monrovia,Liberia,Sub-Saharan Africa,4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,0.41600000000000037
188,Libya,Standard of living protests,Aug-20,Not free,"Extended cuts to power and water service, gasoline supply disruptions.","Ongoing rampant corruption, the failure of the state to meet even basic needs, and lack of infrastructure.",">1,000",General public,2 months,"Prime Minister Fayez al-Sarraj of the internationally recognized Government of National Accord announced a cabinet reshuffle and called for elections to be held in March 2021. In the east, the non-recognized government affiliated with Khalid Haftar resigned on September 14, 2020.",,X,X,X,Hundreds of thousands,X,X,,X,,Tripoli,Libya,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,0.29600000000000026
189,Madagascar,Electoral law protests,Apr-18,Partly free,"Passage of new electoral laws that opposition candidates saw as preventing them from running for elections, with additional unfavorable provisions on campaign financing and media access.",Obstacles to opposition candidates’ participation.,">1,000",Opposition candidates.,1 month,"In May 2018, the court ruled part of the electoral law to be unconstitutional, specifically provisions on the revision of electoral lists and the duration of campaigns. Demonstrations continued after this initial ruling, and weeks after the first decision, the court ordered the dissolution of the government and appointment of a new prime minister.",,,X,X,Hundreds of thousands,X,X,,,,Antananarivo,Madagascar,Sub-Saharan Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,0.2810000000000006
190,Malawi,Cost of living protests,Nov-21,Partly free,Price hikes on fuel and other commodities; call for protest by a human rights CSO.,"Frustration with growing economic insecurity, rising cost of living, and a perceived failure by President Lazarus Chakwera to fulfill pledges to improve the economy.",">10,000",General public.,2 months,Chakwera introduced an economic recovery plan in December 2021.,,X,X,,Thousands,,,,,,Lilongwe,Malawi,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,0.3620000000000001
191,Malawi,Vendor protest,Apr-20,Partly free,"Enactment of strict lockdown measures, including restrictions on social interaction and business operations.",Loss of revenue for small vendors dependent on in-person markets.,">1,000",Street vendors.,1 day,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,,X,Lilongwe,Malawi,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,0.3620000000000001
192,Malawi,Election fraud protests,May-19,Partly free,"Suspicions that the May 2019 election, which President Peter Mutharika won by only 159,000 votes, was rigged.",Election fraud and bribery.,"100,000",Opposition party leaders and their supporters.,10 months,"No policy/leadership change in response to the protests. The opposition challenged the election results in the court for the first time in Malawi’s history. Despite attempts by Mutharika’s supporters to bribe judges on the Constitutional Court, the court nullified the results of the presidential elections, citing irregularities. Electoral commissioners have refused to step down.",,,X,,Thousands,,,,,X,Lilongwe,Malawi,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,0.3620000000000001
193,Malaysia,Black Flag protests,Jul-21,Partly free,Perceived government mismanagement of rising coronavirus cases.,Frustration with former prime minister Muhyiddin Yassin's efforts to stay in power amid declining parliamentary confidence; rising coronavirus cases; declining economic opportunity for young people.,">1,000",Youth and general public.,2 months,Yassin resigned in mid-August after losing parliamentary confidence.,,X,X,,Thousands,X,,,,X,Kuala Lumpur,Malaysia,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,0.19100000000000072
194,Maldives,Maldives protests,Feb-18,Partly free,"Order by the Supreme Court for the government to release opposition leaders from prison, which the government disobeyed. Security forces later arrested two out of five Supreme Court justices, blocked off parliament, and arrested several opposition leaders.",Imprisonment of political opponents and attacks on judicial independence.,">1,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,,,,Malé,Maldives,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,0.28200000000000003
195,Mali,Movement of June 5,Jun-20,Not free,Worsening of the security situation in Mali’s northern and central regions.,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",">10,000","Muslim religious leaders, representatives of the Fulani herding community, opposition parties, civil society groups.",2 months,"Military coup on August 19 overthrew President Ibrahim Boubacar Keita, fulfilling a key protestor demand.",,,X,,Tens of thousands,X,,,,,Bamako,Mali,Sub-Saharan Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,0.3210000000000006
196,Mali,Ethnic violence protest,Apr-19,Not free,Killing of 160 villagers in an interethnic conflict.,Failure of government to quell/respond to interethnic violence.,"12,500",Civil society.,1 day,Then prime minister Soumeylou Boubèye Maïga and his entire government stepped down.,,X,X,,Hundreds of thousands,X,X,X,X,,Bamako,Mali,Sub-Saharan Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,0.3210000000000006
197,Malta,“Mafia state” protests,Nov-19,Free,Developments in the investigation of the 2017 death of a journalist.,"Then prime minister Joseph Muscat’s influence over law enforcement and judicial systems, and corruption among political leaders.","4,000","Women, feminist organizations.",2 months,Muscat resigned.,,X,,,Tens of thousands,,,,,,Valletta,Malta,Western Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,0.1719999999999997
198,Mauritania,Election protests,Jun-19,Partly free,Call by opposition leaders for protests after government-backed presidential candidate Mohamed Ould Ghazouani was proclaimed the winner.,Concerns about electoral fraud and the political manipulation of votes.,>500,Supporters of the political opposition.,1 week,No policy/leadership change in response to protests.,,X,,,Tens of thousands,,,,,,Nouakchott,Mauritania,Sub-Saharan Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,0.27500000000000036
199,Mauritius,Tanker spill protests,Aug-20,Free,"The spillage of over 1,000 tons of oil from the wreckage of the oil tanker MV Wakashio.","Anger at the government over insufficient information about the incident, and general frustration about the degradation of environmental resources in Mauritius.",">75,000","General public, particularly environmental activists.",2 months,No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,X,X,,Port Louis,Mauritius,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,0.2320000000000002
200,Mexico,Femicide protests,Mar-20,Partly free,"In March 2020, triggered by the recent murder of a twenty-five-year-old woman and seven-year-old girl. In March 2022, protests were triggered by rising femicide rates and commemorations of International Women's Day.","Anger at violence against women, and lack of a government focus on addressing gender-based violence.",">10,000",Women.,3 weeks in March 2020; 1 day in March 2022.,No policy or leadership change in response to the protests.,,,X,,Thousands,X,,X,,,Mexico City,Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,0.20699999999999985
201,Mexico,AMLO protests,Oct-20,Partly free,Perception that the government of President Andres Manuel Lopez Obrador has mismanaged the public health and economic crises stemming from the corronavirus pandemic.,"Economic frustration and broad-based opposition to the Lopez Obrador government, especially from conservatives.",">5,000","General public, especially conservatives and adherents of the FRENAAA, or National Anti-AMLO Front, movement.",2 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Mexico City,Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,0.20699999999999985
202,Moldova,Corruption protests,Jun-18,Partly free,Supreme Court’s decision to annul the results of the mayoral election in the capital.,Lack of judicial independence.,"20,000",General public.,2 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,,,,Chisinau,Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,0.17900000000000027
203,Mongolia,Coronavirus response protests,Jan-21,Free,The circulation of a video of a mother and her newborn being given substandard care during a transfer to a coronavirus quarantine facility.,Frustration over the state’s aggressive coronavirus policies; desire for more press freedom and assembly rights; and concern over the economic fallout of coronavirus mitigation measures.,">5,000",General public.,1 week,Prime Minister Khurelsukh Ukhnaa and his cabinet resigned.,,,X,,Thousands,X,,,,X,Ulaanbaatar,Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,0.16500000000000004
204,Mongolia,Corruption protests,Dec-18,Free,Corruption allegations against the speaker of parliament and other political figures.,"Corruption allegations against political elites, falling foreign investment and currency values, and democratic backslide.","20,000","Civic activists, students, academics, journalists.",6 months,"The speaker of parliament, Enkhbold Miyegombo, was removed from office.",,X,,,Thousands,,,X,,,Ulaanbaatar,Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,0.16500000000000004
205,Montenegro,Minority government protest,Feb-22,Partly free,Efforts by the Democratic Party of Socialists to form a minority government.,Frustration over political dealmaking and a belief that new elections should be held in order to determine the composition of the government.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Podgorica,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,0.2110000000000003
206,Montenegro,Religion law protests,Dec-20,Partly free,Government plans to rewrite a law in order to keep hundreds of Serbian Orthodox monasteries under church ownership rather than transferring them to the state.,Tensions between ethnic and religious groups in Montenegro; concerns over the relationship between the government and the Serbian Orthodox Church; and feelings of Montenegrin nationalism.,">1,000",General public.,1 month,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Podgorica,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,0.2110000000000003
207,Montenegro,“Religion law” protests,Dec-19,Partly free,"Passage of a law that would mandate the creation of a register for all religious buildings and sites owned by the independent kingdom of Montenegro before 1918, when Montenegro became part of the Kingdom of Serbs, Croats and Slovenes, which was later renamed Yugoslavia. Any faith group that could not provide evidence that they owned the property could lose rights to the property.",Concerns among supporters of the Serbian Orthodox Church that the government is attempting to seize the church’s assets and distance Montenegro from Serbia.,"60,000","Teachers, teachers’ unions.",4 months,No policy/leadership change in response to the protests.,,,X,,Millions,,X,,X,,Podgorica,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,0.2110000000000003
